1,H,Hydrogen,1,nonmetal
8,O,Oxygen,6,nonmetal
11,Na,Sodium,1,metal
12,Mg,Magnesium,2,metal
13,Al,Aluminum,3,metal
17,Cl,Chlorine,7,nonmetal
19,K,Potassium,1,metal
20,Ca,Calcium,2,metal
24,Cr,Chromium,3,metal
26,Fe,Iron,2,metal
30,Zn,Zinc,2,metal
